AERODYNAMIC AND STABILITY DERIVATIVES SUMMARY
============================================================

13×3 DataFrame
 Row │ Quantity                           Value       Notes
     │ String                             String      String
─────┼──────────────────────────────────────────────────────────────────────────────────
   1 │ Aircraft Cm_alpha (VLM)            -28.678695  Pitching moment derivative with …
   2 │ Aircraft CZ_alpha (VLM)            6.139321    Aircraft vertical-force/lift-rel…
   3 │ Wing CZ_alpha (VLM)                5.610616    Wing lift-related derivative fro…
   4 │ Horizontal tail CZ_alpha (VLM)     0.528705    Horizontal-tail lift-related der…
   5 │ Wing CL_alpha (DATCOM)             5.198294    DATCOM wing lift-curve slope
   6 │ Horizontal tail CL_alpha (DATCOM)  2.185731    DATCOM horizontal-tail lift-curv…
   7 │ dCm/dCL from VLM alpha sweep       -4.760508   Linear fit of Cm against CL usin…
   8 │ Fuselage dCmf/dCL used with DATC…  0.312438    Fuselage moment-lift derivative …
   9 │ Fuselage dCmf/dCL used with VLM    0.289477    Fuselage moment-lift derivative …
  10 │ DATCOM neutral point x_np          16.136374   Neutral point from DATCOM-style …
  11 │ VLM neutral point x_np             16.125592   Neutral point from VLM Cm-CL slo…
  12 │ Empty/component DATCOM static ma…  -3.261579   Static margin using empty/compon…
  13 │ Empty/component VLM static margin  -3.560515   Static margin using empty/compon…
