Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Forward boundary: front-to-aft,0,Start: OEW + crew,16630.971221999996,15.712491981134303,30.73931021228393,6.10560543770134,4.872825944541521
Forward boundary: front-to-aft,1,Window seats: zone 1,17170.971221999996,15.422773618352428,22.33848771751692,14.506427932468348,13.273648439308529
Forward boundary: front-to-aft,2,Window seats: zone 2,17710.971221999996,15.247678886672315,17.26135091994036,19.58356473004491,18.35078523688509
Forward boundary: front-to-aft,3,Window seats: zone 3,18250.971221999996,15.177033517550871,15.212881501682034,21.632034148303237,20.399254655143416
Forward boundary: front-to-aft,4,Window seats: zone 4,18790.971221999996,15.201832762625388,15.931973152880179,20.912942497105092,19.680163003945275
Forward boundary: front-to-aft,5,Window seats: zone 5,19330.971221999996,15.314078044213355,19.18669500565272,17.658220644332552,16.42544115117273
Forward boundary: front-to-aft,6,Window seats: zone 6,19780.971221999996,15.475276644844127,23.860892447958154,12.984023202027114,11.751243708867296
Forward boundary: front-to-aft,7,Aisle seats: zone 1,20320.971221999996,15.236771834455501,16.945084430185304,19.899831219799964,18.667051726640146
Forward boundary: front-to-aft,8,Aisle seats: zone 2,20860.971221999996,15.092931130268083,12.774205471054334,24.070710178930934,22.837930685771116
Forward boundary: front-to-aft,9,Aisle seats: zone 3,21400.971221999996,15.03658869618709,11.14047130559556,25.70444434438971,24.471664851229892
Forward boundary: front-to-aft,10,Aisle seats: zone 4,21940.971221999996,15.06128414373937,11.856553190511226,24.98836245947404,23.755582966314222
Forward boundary: front-to-aft,11,Aisle seats: zone 5,22480.971221999996,15.161177806704565,14.753121163851953,22.091794486133317,20.8590149929735
Forward boundary: front-to-aft,12,Aisle seats: zone 6,22930.971221999996,15.303233280737768,18.87223467224012,17.972680977745153,16.73990148458533
Forward boundary: front-to-aft,13,Load baggage/cargo,23980.971221999996,15.432957178340857,22.63377545491177,14.211140195073499,12.97836070191368
Forward boundary: front-to-aft,14,Fuel uplift / dispatch,33614.100000000006,15.604027908387582,27.594230233730013,9.250685416255255,8.017905923095437
Aft boundary: aft-to-front,0,Start: OEW + crew,16630.971221999996,15.712491981134303,30.73931021228393,6.10560543770134,4.872825944541521
Aft boundary: aft-to-front,1,Window seats: zone 6,17080.971221999996,15.888675089774726,35.84800614737307,0.996909502612196,-0.23586999054762253
Aft boundary: aft-to-front,2,Window seats: zone 5,17620.971221999996,15.99076455061419,38.808244604003136,-1.9633289540178611,-3.1961084471776795
Aft boundary: aft-to-front,3,Window seats: zone 4,18160.971221999996,15.992228522025371,38.850694671180996,-2.005779021195731,-3.238558514355549
Aft boundary: aft-to-front,4,Window seats: zone 3,18700.971221999996,15.901783839670912,36.2281141941974,0.616801455787866,-0.6159780373719524
Aft boundary: aft-to-front,5,Window seats: zone 2,19240.971221999996,15.727168783359163,31.16488631004299,5.680029339942279,4.44724984678246
Aft boundary: aft-to-front,6,Window seats: zone 1,19780.971221999996,15.475276644844127,23.860892447958154,12.984023202027114,11.751243708867296
Aft boundary: aft-to-front,7,Aisle seats: zone 6,20230.971221999996,15.629304124574391,28.32715238435188,8.517763265633391,7.284983772473573
Aft boundary: aft-to-front,8,Aisle seats: zone 5,20770.971221999996,15.722654394622241,31.033984774886207,5.810930875099065,4.5781513819392465
Aft boundary: aft-to-front,9,Aisle seats: zone 4,21310.971221999996,15.730695634278513,31.267152691277765,5.577762958707506,4.3449834655476876
Aft boundary: aft-to-front,10,Aisle seats: zone 3,21850.971221999996,15.659752534003424,29.210050107524076,7.634865542461193,6.402086049301374
Aft boundary: aft-to-front,11,Aisle seats: zone 2,22390.971221999996,15.515539657467315,25.02837944776085,11.816536202224418,10.583756709064598
Aft boundary: aft-to-front,12,Aisle seats: zone 1,22930.971221999996,15.303233280737768,18.87223467224012,17.972680977745153,16.73990148458533
Aft boundary: aft-to-front,13,Load baggage/cargo,23980.971221999996,15.432957178340857,22.63377545491177,14.211140195073499,12.97836070191368
Aft boundary: aft-to-front,14,Fuel uplift / dispatch,33614.100000000006,15.604027908387582,27.594230233730013,9.250685416255255,8.017905923095437
