Phase,Beta,Fuel_mass_kg,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent,Mission_progress
Outbound - Start of leg,1.0,9752.739669999995,32286.7,15.858182964779022,20.968552680290326,7.713205005580405,7.35294127154918,0.0
Outbound - After Warm-up,0.99,9429.872669999993,31963.833,15.851252919452742,20.776408137613572,7.905349548257158,7.545085814225933,0.058823529411764705
Outbound - After Taxi,0.9801,9110.234339999995,31644.19467,15.844252873668621,20.582322740970397,8.099434944900334,7.7391712108691095,0.11764705882352941
Outbound - After Takeoff,0.9751995,8952.013366649997,31485.973696650002,15.840735262721829,20.484792390898512,8.19696529497222,7.836701560940996,0.17647058823529413
Outbound - After Climb,0.95569551,8322.293892716996,30856.254222717,15.826377667020626,20.08670932938034,8.595048356490388,8.234784622459163,0.23529411764705882
Outbound - After Cruise,0.8904030708488126,6214.216497574354,28748.17682757436,15.773736201915147,18.62715607073581,10.054601615134919,9.694337881103694,0.29411764705882354
Outbound - After Loiter,0.8697769059282118,5548.265698632389,28082.226028632394,15.755463817039876,18.120530374918452,10.56122731095228,10.200963576921055,0.35294117647058826
Outbound - After Descent,0.8610791368689297,5267.443438346068,27801.403768346074,15.747496204564717,17.899617930167267,10.782139755703465,10.42187602167224,0.4117647058823529
Outbound - After Landing,0.8541905037739782,5045.032208199296,27578.9925381993,15.741070710633137,17.721462732787273,10.960294953083457,10.600031219052232,0.47058823529411764
Return - Start of leg,0.8541905037739782,5045.032208199296,27578.9925381993,15.741070710633137,17.721462732787273,10.960294953083457,10.600031219052232,0.5294117647058824
Return - After Warm-up,0.8456485987362384,4769.242282817304,27303.20261281731,15.732957713244778,17.496519301751924,11.185238384118808,10.824974650087583,0.5882352941176471
Return - After Taxi,0.8371921127488761,4496.2102566891335,27030.17058668914,15.724762766387851,17.269303714847577,11.412453971023155,11.05219023699193,0.6470588235294118
Return - After Takeoff,0.8330061521851316,4361.059403755684,26895.01973375569,15.72064470264065,17.155125027960914,11.526632657909817,11.166368923878593,0.7058823529411765
Return - After Climb,0.816346029141429,3823.1590090805694,26357.119339080575,15.70383627918269,16.689089571280803,11.992668114589929,11.632404380558704,0.7647058823529411
Return - After Cruise,0.7605738476502445,2022.4593169291438,24556.41964692915,15.642208966688697,14.980391977247645,13.701365708623085,13.341101974591862,0.8235294117647058
Return - After Loiter,0.7429551734457912,1453.6104684922211,23987.570798492226,15.620817503315433,14.38728576314317,14.29447192272756,13.934208188696337,0.8823529411764706
Return - After Descent,0.7355256217113333,1213.734760507301,23747.695090507306,15.611489827065279,14.128663776858906,14.553093909011825,14.192830174980601,0.9411764705882353
Return - After Landing,0.7296414167376426,1023.7531997832411,23557.713529783246,15.603967507508704,13.920097658887743,14.76166002698299,14.401396292951764,1.0
