Method,Step_No,Step,Weight_kg,x_cg_m,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
Balanced-zone boarding,0,Start: OEW + crew + fuel,26264.1,15.828909215062811,34.11500413853152,2.7299115114537496,1.4971320182939312
Balanced-zone boarding,1,Add baggage,27314.100000000002,15.922595088812411,36.83156786642367,0.013347783561603556,-1.219431709598215
Balanced-zone boarding,2,Board zone 3,28394.100000000002,15.806106004956348,33.45379054276264,3.391125107222632,2.1583456140628132
Balanced-zone boarding,3,Board zone 4,29474.100000000002,15.81467642829912,33.70230294120469,3.142612708780577,1.9098332156207585
Balanced-zone boarding,4,Board zone 2,30554.100000000002,15.597833171827384,27.414604469783352,9.430311180201917,8.1975316870421
Balanced-zone boarding,5,Board zone 5,31544.100000000002,15.711513548185907,30.710939067826345,6.133976582158927,4.901197088999109
Balanced-zone boarding,6,Board zone 1,32624.100000000002,15.406572273728043,21.86870520508268,14.976210444902588,13.74343095174277
Balanced-zone boarding,7,Board zone 6,33614.100000000006,15.612542192571896,27.841114792291016,9.003800857694257,7.771021364534438
Balanced-zone boarding,8,Unload zone 6,32624.100000000002,15.406572273728043,21.86870520508268,14.976210444902588,13.74343095174277
Balanced-zone boarding,9,Unload zone 1,31544.100000000002,15.711513548185907,30.710939067826345,6.133976582158927,4.901197088999109
Balanced-zone boarding,10,Unload zone 5,30554.100000000002,15.597833171827384,27.414604469783352,9.430311180201917,8.1975316870421
Balanced-zone boarding,11,Unload zone 2,29474.100000000002,15.81467642829912,33.70230294120469,3.142612708780577,1.9098332156207585
Balanced-zone boarding,12,Unload zone 4,28394.100000000002,15.806106004956348,33.45379054276264,3.391125107222632,2.1583456140628132
Balanced-zone boarding,13,Unload zone 3,27314.100000000002,15.922595088812411,36.83156786642367,0.013347783561603556,-1.219431709598215
Balanced-zone boarding,14,Unload baggage,26264.100000000002,15.828909215062808,34.11500413853142,2.7299115114538526,1.4971320182940342
