Label,Step_No,Step,Weight_kg,CG_percent_MAC,SM_DATCOM_percent,SM_VLM_percent
A,0,A: Start (OEW + crew + fuel),26264.1,35.625834683173224,1.219080966812045,-0.013698526347979502
B,1,B: Add baggage,27314.100000000002,38.28431954074289,-1.439403890757622,-2.6721833839176465
C,2,Board zone 3,28394.100000000002,34.85128525143542,1.9936303985498502,0.7608509053898257
D,3,Board zone 4,29474.100000000002,35.04859017330078,1.7963254766844874,0.563545983524463
E,4,Board zone 2,30554.100000000002,28.713304300821548,8.131611349163721,6.898831856003698
F,5,Board zone 5,31544.100000000002,31.96887968136502,4.876035968620252,3.6432564754602277
G,6,Board zone 1,32624.100000000002,23.085002497805718,13.75991315217955,12.527133659019526
H,7,Board zone 6,33614.100000000006,29.021589786639407,7.823325863345862,6.590546370185837
I,8,Unload zone 6,32624.100000000002,23.085002497805718,13.75991315217955,12.527133659019526
J,9,Unload zone 1,31544.100000000002,31.96887968136502,4.876035968620252,3.6432564754602277
K,10,Unload zone 5,30554.100000000002,28.713304300821548,8.131611349163721,6.898831856003698
L,11,Unload zone 2,29474.100000000002,35.04859017330078,1.7963254766844874,0.563545983524463
M,12,Unload zone 4,28394.100000000002,34.85128525143542,1.9936303985498502,0.7608509053898257
N,13,Unload zone 3,27314.100000000002,38.28431954074289,-1.439403890757622,-2.6721833839176465
O,14,Unload baggage,26264.100000000002,35.625834683173174,1.2190809668120965,-0.013698526347927995
