Component,x_m,y_m,z_m
Full takeoff CG,15.858182964779022,0.0,0.0
Empty/component CG,16.25400868603988,0.0,0.0
Neutral point DATCOM,16.136373849385553,0.0,0.0
Neutral point VLM,16.143972605193046,0.0,0.0
Wing CG,16.54425745208067,0.0,0.0
H-tail CG,28.46734128270436,0.0,0.0
V-tail CG,28.81241977128913,0.0,0.0
Fuselage CG,16.49,0.0,0.0
All-else CG,16.49,0.0,0.0
Left engine,13.449773215168149,-4.2,-0.7248557543359455
Right engine,13.449773215168149,4.2,-0.7248557543359455
Nose LG,5.5,0.0,-1.605
Main LG,17.65,0.0,-1.605
Crew,2.7005000000000003,0.0,0.7222500000000001
Fuel,16.54425745208067,0.0,-0.24075
Passengers,14.692285714285713,0.0,0.40125
Baggage,15.404,0.0,-0.56175
