Group,Component,Weight_kg,Loc_m,Moment_kg_m,Weight_lb,Loc_ft,Moment_ft_lb,Notes
Structures,wing,2761.116244990827,16.429896008847976,45364.8527735401,6087.219335264304,53.90385829652971,328124.60846798285,Raymer quick-and-dirty / geometry-based CG
Structures,htail,309.3634615668512,29.410104204814196,9098.411641843126,682.0296857441032,96.48984319126167,65808.93742923399,Raymer quick-and-dirty / geometry-based CG
Structures,vtail,187.49300701021286,29.654009898651932,5559.919485808869,413.3513246933959,97.29005872222217,40214.97465232881,Raymer quick-and-dirty / geometry-based CG
Structures,fuse,4948.548853691835,16.49,81601.57059737835,10909.682748178904,54.10104986855,590225.2904092864,Raymer quick-and-dirty / geometry-based CG
Structures,noseLG,151.37967264354344,4.5,681.2085268959455,333.7350507982035,14.7637795275,4927.19071058369,Raymer quick-and-dirty / geometry-based CG
Structures,mainLG,857.8181449800795,16.9,14497.126650163344,1891.1652878564864,55.4461942255,104857.91786301436,Raymer quick-and-dirty / geometry-based CG
Propulsion,installed engines,3065.4,13.277177042557458,40699.85850625563,6758.05018501899,43.56029213420062,294382.64031701576,1.3 × dry engine weight × 2
Equipment,all-else empty,3989.8518371166488,16.49,65792.65679405353,8796.117617937145,54.10104986855,475879.19789764873,Raymer quick-and-dirty allowance
Useful load,crew,360.0,2.7005000000000003,972.1800000000002,793.664143866,8.859908136447501,7031.791405845013,4 crew assumed
Useful load,fuel usable,9633.128778000002,16.429896008847976,158271.3040623808,21237.41362317305,53.90385829652971,1.14477853452831e6,fuel mass from TOGW minus zero-fuel weight
Useful load,passengers,6300.0,14.449999999999998,91034.99999999999,13889.122517655,47.408136482749995,658457.4159426244,70 pax × 90 kg
Useful load,baggage,1050.0,18.266,19179.3,2314.8537529425,59.92782152207,138724.14255603205,70 pax × 15 kg
